═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffb3948000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
176,0,349,207292,0.17,1412523,1136647,79,NORMAL
177,0,431,209993,0.21,1419900,1142556,76,NORMAL
178,0,402,206866,0.19,1413042,1125789,81,NORMAL
179,0,315,204127,0.15,1412920,1125658,84,NORMAL
180,0,621,214236,0.29,1420059,1137824,84,NORMAL
181,0,336,207770,0.16,1413884,1135931,76,NORMAL
182,0,527,199092,0.26,1440309,1124119,81,NORMAL
183,0,636,213028,0.30,1446335,1129568,76,NORMAL
184,0,321,207592,0.15,1413017,1135878,78,NORMAL
185,0,279,208895,0.13,1419097,1145035,73,NORMAL
186,0,373,202900,0.18,1412485,1115636,74,NORMAL
187,0,286,207329,0.14,1410993,1137708,79,NORMAL
188,0,417,213896,0.19,1448327,1163681,81,NORMAL
189,0,307,208805,0.15,1413939,1136917,78,NORMAL
190,0,574,193552,0.30,1413443,1076399,84,NORMAL
191,0,383,208125,0.18,1413939,1134307,78,NORMAL
192,0,369,207886,0.18,1411971,1135937,76,NORMAL
193,0,428,211693,0.20,1434797,1153603,78,NORMAL
194,0,440,203862,0.22,1420657,1117436,78,NORMAL
195,0,295,207689,0.14,1413380,1141361,81,NORMAL
196,0,312,209080,0.15,1420454,1142403,78,NORMAL
197,0,316,210025,0.15,1424398,1148059,79,NORMAL
198,0,574,193374,0.30,1411855,1073912,73,NORMAL
199,0,534,209781,0.25,1421179,1139135,78,NORMAL
200,0,354,208060,0.17,1412908,1136526,78,NORMAL
201,0,275,208044,0.13,1412857,1136909,73,NORMAL
202,0,371,202323,0.18,1412326,1117639,81,NORMAL
203,0,299,207846,0.14,1412238,1136186,76,NORMAL
204,0,399,211397,0.19,1427352,1145507,74,NORMAL
205,0,386,199990,0.19,1419255,1108170,78,NORMAL
